"ï..Country.Name","Country.Code","Indicator.Name","IndicatorCode","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X"
"Benin","BEN","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.0663541996951",0.0520486725753437,0.054208782862419,0.0475884671771672,0.0553036182680249,0.0571148865980008,0.0423826477102961,0.0522840572249999,0.0551707486921423,0.0707503568475618,0.0969526888705913,0.0985562265355316,0.127712815538893,0.122481397419967,0.127701367849099,0.135891058558414,0.0777842409510843,0.0865099047749418,0.103019268527523,0.101339802278225,0.139097284190811,0.112310169873978,0.125105245617238,0.11255315673005,0.120856597316361,0.1739863625166,0.155688131966732,0.11885730085715,0.118496786967423,0.130855058692703,0.0763283799562478,0.064083941418733,0.0675193485133083,0.0760626908698149,0.07000086626072,0.077892803246843,0.172292933429949,0.197400553103614,0.200918817206378,0.213081972634873,0.22283892124989,0.260007167154086,0.290594072977493,0.31646596342079,0.326451486534908,0.348273908158166,0.46611292127085,0.519232293173456,0.500177361742641,0.525450061952798,0.552218690776448,0.526380933425601,0.487190487574895,0.501769487097627,0.535635874149484,0.566378736988654,0.665006633510153,0.658601659819357,0.688722324311593,NA,NA,NA
"Burkina Faso","BFA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.00911190032321528",0.0187299012376956,0.017003109471793,0.017504237927798,0.0215752798010391,0.0198412560383113,0.0195336696877687,0.0192168294177924,0.0188949449452581,0.0218898760747676,0.0254263775932548,0.0262689271964913,0.0276984000821263,0.0284431665293256,0.0339984221971856,0.0357491379554067,0.0333149400576854,0.0389683717582291,0.0533416936923694,0.0610098901981757,0.0634202458596036,0.0797953835313291,0.080427237963868,0.0809237546843647,0.0618369699859479,0.0616868109713521,0.0605719124782223,0.0635186632072412,0.0662633149332726,0.0957372289249026,0.0669615015628701,0.0662977125300246,0.0656117868886138,0.0649046587203125,0.0631584265972766,0.0634298921295397,0.0694127507752537,0.076883034277082,0.0802281250267807,0.0824271078472734,0.0904552405502056,0.0853943153674019,0.0829733955568723,0.0869247478234043,0.0867191135679651,0.0856806414276332,0.101235265478276,0.117877952676072,0.13002285611201,0.127467638080145,0.133929621329696,0.13679962865119,0.163536225265297,0.173961011998565,0.171727227334835,0.18773519354615,0.187704296015038,0.212053871478473,0.21618648458803,NA,NA,NA
"Cote d'Ivoire","CIV","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.1318778990164",0.152474138431913,0.155597445180754,0.159083659340127,0.187339475184402,0.277616178315589,0.295285765090541,0.327629172160888,0.37423654833493,0.426040996677877,0.478672773991733,0.507858994676973,0.540577465026167,0.549279784192897,0.581683614333242,0.622183644243528,0.590416608764827,0.577201128812835,0.655545803833846,0.705639410834893,0.774604003260286,0.532114782904156,0.69700265522235,0.529302543264363,0.567166797672596,0.73870894367569,0.578835148169234,0.718099644537935,0.825631425342099,0.740894833475955,0.227256089016629,0.225684260116398,0.216196336869171,0.223032002530509,0.224965523487493,0.229581361204792,0.264573264803403,0.316575454603014,0.309825768228387,0.417275505310345,0.38469345462015,0.371446624989089,0.370251316495874,0.292620070679963,0.301605526348109,0.316543402704283,0.300187993397357,0.289495990089326,0.324397640507023,0.295625731243706,0.302927821748309,0.284849452071393,0.366173070936217,0.383021967260586,0.395625651943387,0.41160505823006,0.391223069937504,0.424757467782576,0.39530538358065,NA,NA,NA
"Cabo Verde","CPV","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.109044952173267",0.10715903390301,0.087250941034829,0.0678800668249362,0.13158166217386,0.111400436592151,0.092191657413421,0.0740742237053676,0.114518150127455,0.139185685926949,0.136505939329866,0.135156552346903,0.188853042771326,0.229975504301504,0.244260402326924,0.284957815275311,0.270283218780519,0.295146980811093,0.756816157461384,0.891419909984306,0.426323243426059,0.114324610812047,0.124624461331412,0.122141320205445,0.275498138106749,0.270611676527587,0.1853114054066,0.251213656476831,0.225146127019991,0.243595627755299,0.295899133903235,0.288826181515702,0.309194604273069,0.300499648961774,0.292235307869897,0.310649049413909,0.353952767531407,0.371059349706121,0.387866564205249,0.45189032859562,0.513805006329143,0.573787987633721,0.632118386743574,0.689003722842696,0.74460326880835,0.950254192996627,1.06570951742542,0.968284473558466,0.998240600940842,1.04794448770925,1.09612620878362,1.14260972060185,1.04900433654434,0.996599835854145,0.964736935532419,0.952852841407173,1.03550852882479,1.09767646079342,1.14020052817031,NA,NA,NA
"Ghana","GHA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.220509797024338",0.196514575680268,0.202743763191169,0.236090510243388,0.219304482574852,0.220319549302064,0.181470236171928,0.183963142842634,0.21195327005435,0.198413547952598,0.300563688849616,0.255820663356308,0.262619885499326,0.260726964996874,0.301286026666262,0.275044848029421,0.238734076636085,0.288902561533393,0.280471735126553,0.246043198358438,0.231506880538113,0.268523081941794,0.260653835099738,0.303816933959438,0.208095998769594,0.260174330942487,0.231470889997212,0.242445905300767,0.247410580892142,0.232997192513639,0.188854549099949,0.168339540853902,0.196763056075235,0.198053537285845,0.208916041533717,0.218054975479689,0.234216123873186,0.239544670809505,0.332295427631258,0.34976987746732,0.297735601449257,0.314320105113502,0.366485340388818,0.343609357509296,0.31120242222666,0.3218021212169,0.376691475427226,0.3940960321018,0.363268588912024,0.411651295524548,0.449966654040697,0.480941312043349,0.546997678991142,0.56412366658134,0.527833773133592,0.543283051942276,0.495401525745413,0.507529429152326,0.541201382411755,NA,NA,NA
"Guinea","GIN","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.117539989536839",0.173435868907915,0.182769807400286,0.18971235323589,0.1874768463497,0.183267481405083,0.185709073733581,0.184231800390049,0.186408841155729,0.183143469827285,0.190649125332222,0.192768933208558,0.194010130183958,0.184302778037237,0.189814038331566,0.187789674495819,0.194640816153748,0.194881225073619,0.191835565505146,0.197822850058683,0.197974277042176,0.199229514678762,0.193567435410127,0.18351081900042,0.183819220936439,0.181650262963751,0.177180597645939,0.171298340051054,0.171627705147226,0.169452515452016,0.157423741578223,0.156084160579384,0.156342316415407,0.156585939365575,0.158167091952557,0.159567934053324,0.164795809952649,0.168361791479092,0.173010996884275,0.177535105084022,0.180809114720956,0.18652544908081,0.189842229460556,0.194216972575535,0.198303130198105,0.201985052008407,0.204138181779894,0.208023421335996,0.206391015891492,0.21275592179012,0.245286380679753,0.251428463947701,0.233758216272726,0.200131811584896,0.200879385380823,0.222181479231805,0.241088376865262,0.24611527343324,0.25132323293185,NA,NA,NA
"Gambia","GMB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.0502261340258431",0.0590759217691093,0.0675702710813244,0.0756794407109781,0.0740785632758603,0.072388453775126,0.0794338087696581,0.0773588797577246,0.0836088374107937,0.105647255932699,0.102649847977192,0.115047709085433,0.134043019836564,0.122852897356866,0.119138079311992,0.183355093197033,0.177495921550349,0.197097554420855,0.233590371140242,0.237819608606125,0.247439003722232,0.239789470802836,0.237937446819179,0.230431963530316,0.237497381794931,0.228037909951296,0.203943418429837,0.216222167937609,0.209917109360689,0.19623953317439,0.198829001826087,0.201476622163839,0.194651748556657,0.197952417894522,0.191917705687801,0.194935746519732,0.188988661539347,0.191583327919022,0.201918386203644,0.20358338070562,0.182134433425311,0.227929444807988,0.213635195116584,0.206907253823474,0.213828846045904,0.220243628319444,0.226209656136188,0.243925344209151,0.254545110129238,0.275818159982577,0.245371539912748,0.243487783947337,0.2414672811834,0.224065899818099,0.256912299528121,0.254091837419578,0.246610960507814,0.243913455892317,0.249989912687734,NA,NA,NA
"Guinea-Bissau","GNB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.0297578472425098",0.0471068832958118,0.0641413185726303,0.0750714951622657,0.0914148960535726,0.101579728991451,0.100161153751605,0.0712312269235539,0.0916169310334185,0.0847362894944736,0.0988357824883642,0.102093799896709,0.0901086119620595,0.147431309955533,0.135515819593806,0.148406300384472,0.123754080592927,0.133046187018291,0.132976401856147,0.141998590469405,0.187647599139288,0.180161601604426,0.176471677019553,0.172260820127871,0.189536648513526,0.197610997026932,0.205427268551197,0.212927894122738,0.231878171065521,0.242215726444827,0.174311597360717,0.170422306475446,0.176409536699554,0.182093325704581,0.168800904022619,0.165312026449924,0.162040267006351,0.176599661811648,0.147266219208366,0.161409118595775,0.124864210171439,0.122238928209077,0.119573934157809,0.155848568180242,0.159879161806848,0.156141839246772,0.159700112225624,0.162942024519232,0.152045425644258,0.154994878430104,0.157624804364631,0.159949225717788,0.155765083823422,0.15774219949656,0.165442295204596,0.161178259125136,0.168309177226197,0.16410067904861,0.165394727856314,NA,NA,NA
"Liberia","LBR","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.147511967496681",0.14124786396616,0.216879769528334,0.298456279430372,0.397439865999401,0.447660597026433,0.480886688057243,0.469972341431369,0.662488942862712,0.931173801683132,1.03669657964062,1.06175926054819,1.02208784002355,0.978277349435143,1.10743641279763,0.927946070302552,0.897904586917385,0.871157784009148,0.865713453641439,1.08523110757636,1.10228220212618,1.01094989034996,0.302284469737524,0.345803487404435,0.331679663507551,0.336664094146772,0.33808446308759,0.355918232007252,0.383177491266831,0.316836693759913,0.216771672470528,0.181360013842181,0.199838929822563,0.212475230194147,0.211428091040936,0.205413426310623,0.199029845219581,0.193447711083694,0.194639702050311,0.148164171828953,0.150959452642089,0.152339528925553,0.148773757102707,0.155993311786757,0.17859113282269,0.208196477812781,0.20725631388338,0.184868992877055,0.149673089028048,0.143841620786073,0.187595227063464,0.211577206015961,0.229709294424931,0.214201462831221,0.279848092949938,0.281738703451903,0.307404658772108,0.267958310790809,0.273917114341304,NA,NA,NA
"Mali","MLI","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.022989604134105",0.0220477394133968,0.0258941640664909,0.0323462617184815,0.0319811037928685,0.0355604162345481,0.0338340314812423,0.0392007489407998,0.0342542151342816,0.0275271320910967,0.0339020971779994,0.0376132181789666,0.03996591114645,0.0427881757446344,0.0477927863844081,0.0526097136779918,0.0516970476695922,0.0617333905221589,0.0579755207441272,0.0616753557762345,0.0553402168988864,0.0547409887728974,0.0496300416719112,0.055404767266128,0.0567096958397018,0.051971759555295,0.0479535483007817,0.04457409724572,0.0471191117936982,0.0503847271499216,0.0497046419993574,0.0497942916750429,0.0508455387107424,0.0506208036316685,0.0503487292248556,0.0490315742473653,0.0498090230570034,0.0525045513025438,0.0743202783168947,0.0751672212285011,0.128808906779624,0.142836826314766,0.120514182367226,0.116835181944091,0.119653219100082,0.12915336680519,0.143145186027394,0.151632188656813,0.148084348277949,0.172136787435139,0.184725561605576,0.201100989242837,0.194624459901479,0.185411979948272,0.184242397329005,0.195541291554245,0.246027819623535,0.272789702529041,0.294583927721055,NA,NA,NA
"Niger","NER","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.00865681807048803",0.0157773722564927,0.0183951521475224,0.0238246771440599,0.025071513058003,0.0234216239776113,0.0336842215022012,0.0318516581141479,0.0378402528187058,0.0434763476347635,0.0479649806180713,0.049810650489523,0.0530644002747354,0.0673235075786119,0.0574697046795198,0.0643588932562383,0.0625476679556813,0.0667800853663289,0.073954274584244,0.0825565502495977,0.0955171147103022,0.111252620377562,0.117926138916345,0.147721441781343,0.147895691670722,0.144219905338264,0.12671675409843,0.136594353285212,0.131165041096631,0.133855476474896,0.0747515259278159,0.0687679995714668,0.0618669363598172,0.0677178202942858,0.0632613448314827,0.0590076866995304,0.0651293428042253,0.0638620046224301,0.0663776394594205,0.0622145336444304,0.0591268934615451,0.056163692997681,0.0574241746587445,0.0600886323139429,0.0601862849322341,0.0557819700048604,0.0530261343191575,0.0558377556381833,0.0563900666143725,0.0681683437446803,0.0832117298169797,0.0823849809258319,0.10620836203722,0.0967343405341692,0.102909629441135,0.0984918104059647,0.0947626145996287,0.0958227395971223,0.102037038018956,NA,NA,NA
"Nigeria","NGA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.0754709620133252",0.0893194774091543,0.0888878625896447,0.111385101371701,0.148274059739259,0.234674329196185,0.252017802580184,0.245273591796269,0.123978209553693,0.221358869317389,0.384764805891136,0.563390888889308,0.706136962595234,0.824721908307988,1.00995768823169,0.747873873583024,0.847069210235497,0.75246386574769,0.697171285072746,0.984976627545796,0.928241318879751,0.874309218900377,0.847277736671961,0.754642082580005,0.854835992156393,0.836413333132925,0.857037469546931,0.673985115555511,0.782645206312657,0.457406562929948,0.712616859975062,0.773746618531716,0.862605098547241,0.821902461063795,0.76481308221847,0.755361321492867,0.787756012571711,0.736309908592246,0.658873419472149,0.62602687882376,0.622077225518892,0.679059355019137,0.669616061932961,0.67232428920698,0.654963973656008,0.708889857599409,0.646843667742506,0.615894614329259,0.609105145682738,0.481062882519591,0.57241745455453,0.627068885074102,0.602049396957054,0.644598562418289,0.658711745421674,0.597060395913481,0.583027843306121,0.59159678883652,0.667110198543523,NA,NA,NA
"Senegal","SEN","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.258436170872941",0.247042436454565,0.240366504931051,0.247510235077926,0.258106647010634,0.460008053482072,0.453853281050388,0.179605184878225,-0.0200976207161394,0.11888204263687,0.307484800968078,0.308401853251441,0.321873909711631,0.332811025578418,0.386025104707174,0.52366098251345,0.350938579796831,0.433118177054736,0.495457898857761,0.5332892449057,0.600312332252165,0.574282184940147,0.516877917009463,0.432363417628872,0.526909781407011,0.413656916531365,0.39909694160927,0.356793721001328,0.38705538772764,0.506103982043705,0.309580822251979,0.300431835304557,0.321648442007537,0.303886747972984,0.308471769396433,0.317600779272637,0.328738031916087,0.351554440121627,0.385118301388662,0.413848585970303,0.414381656324306,0.443399240063523,0.445365254936602,0.425936800085757,0.498608429202136,0.511265745204088,0.489357485043408,0.530500438176249,0.533124526227228,0.539112314687235,0.554497610572779,0.580796994647921,0.556633753644048,0.581174769701335,0.604596627521916,0.636556012470462,0.66161941756949,0.620648569323981,0.621912356528099,NA,NA,NA
"Sierra Leone","SLE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.308531789692782",0.123149419521589,0.136624498327374,0.152611353582236,0.123389377829471,0.112573189178328,0.117846197258169,0.0974365353023223,0.145625339682777,0.411174361685696,0.317952996294933,0.286942241955003,0.23762761544675,0.185027392892093,0.175082587870973,0.172655159856682,0.145375403492883,0.161923833536824,0.219510306121158,0.204736312534216,0.179643818168189,0.200069397274281,0.156409985526094,0.190448565052624,0.166164218439693,0.17442154424456,0.172270172352385,0.12349999529488,0.110275472762109,0.0879162774648755,0.0787080217132283,0.0827840648953483,0.105802411236952,0.10626096538087,0.111374594526867,0.0580861361636616,0.0695626365166742,0.0530529064342796,0.0593406252310861,0.0336143944904663,0.0872491858560345,0.0904488344615949,0.106730678223115,0.111515429313253,0.104895201412589,0.0850215272735775,0.108075838359718,0.0901556537361755,0.0896700289666801,0.0876810514074004,0.0919628233272586,0.117320139845607,0.132586755685514,0.155886348653659,0.168159366056291,0.13106691677209,0.130989244418562,0.129533211714556,0.133330736434022,NA,NA,NA
"Togo","TGO","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.041762521923331",0.0573857152604376,0.0545697719624917,0.0651708157704758,0.0794261142561127,0.077261854666104,0.101285780318147,0.106722358457517,0.099883491273666,0.118935457334063,0.130003375053533,0.14428638946372,0.177837209654125,0.175123646315965,0.160272339197664,0.129309826252432,0.130941753529425,0.183462552820103,0.138066205978901,0.523125084903922,0.264158613072825,0.222968504205792,0.251541868653575,0.180504331049429,0.193808662650756,0.169090226643308,0.210443824634854,0.220754849588304,0.221405692124795,0.227283069738841,0.25700061733138,0.23815699619829,0.190070609964464,0.156364636375279,0.220840821091026,0.231881698689608,0.312729373198357,0.169418037893911,0.259042135577905,0.357706536302507,0.257899125295518,0.233083150833835,0.257839077628804,0.343299074086754,0.325544051779793,0.311851627054679,0.272433180556739,0.253362971170672,0.258078642315659,0.451139366869093,0.409550531528072,0.380537175980554,0.329209261498003,0.251627635386092,0.222751564619598,0.24852652447126,0.306260279692866,0.268884386987762,0.286471388670057,NA,NA,NA
