asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2010.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2010.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2005.count,gpw_v4_rev11_count.2005.sum,gpw_v4_rev11_count.2000.count,gpw_v4_rev11_count.2000.sum,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,1204251.625,31581.7382812,1150411.625,31581.7382812,1097120.75,31581.7382812,954127.4375,31581.7382812,999655.1875,31581.7382812,1047042.9375,31581.7382812,910614.625,31581.7382812,868999.5,31581.7382812,791655.4375,31581.7382812,829144.1875,31581.7382812,755490.75,31581.7382812,126117.910782,126223.022202,126117.910782,126223.022202,126117.910782,126223.022202,126117.910782,126223.022202,126117.910782,126223.022202,126117.910782,126223.022202,126117.910782,126223.022202,126117.910782,126223.022202,126117.910782,126223.022202,0.00494555348348,0.00452860555597,0.00372350392742,0.00345878855652,0.00172955070555,0.00144521966404,0.00196036215547,0.00188025318895,0.00134162024414,91.04847977348352,80.5074150038314,94.34614944005682,86.13630754399578,70.68322199444204,87.97972475592648,79.29440271655456,87.09277290960003,28.733604655489167,28.951802971871448,28.805141470726845,28.827613929780306,28.664678384426175,28.853512725413065,28.969378999491667,29.026872370280007,413.2303424,411.143167838,409.186470861,406.212316611,403.58601504,401.372132928,31582.4101562,1140022.5,31582.4101562,961892.9375,31582.4101562,801339.125,31582.4101562,653459.25,31582.4101562,523040.53125,58.0855059049,58.0932923501,58.1010807951,58.1088710671,30.666698851,30.0314535015,29.4453435529,28.9048322606,ADM1,0,0,BEN,BEN-ADM1-90618267B38442761,BJ-AL,Alibori,ADM1
1,1697377.31592,30949.8393841,1617315.0564,30949.8393841,1540599.27063,30949.8393841,1333501.06573,30949.8393841,1399041.57263,30949.8393841,1468097.96222,30949.8393841,1271131.14526,30949.8393841,1212093.4024,30949.8393841,1102137.38745,30949.8393841,1155924.81348,30949.8393841,1051085.70654,30949.8393841,123579.085693,123690.443886,123579.085693,123690.443886,123579.085693,123690.443886,123579.085693,123690.443886,123579.085693,123690.443886,123579.085693,123690.443886,123579.085693,123690.443886,123579.085693,123690.443886,123579.085693,123690.443886,0.0235419091609,0.0242668289774,0.0251237918658,0.0194215707544,0.0133734027038,0.010796095929,0.0115241816326,0.0126649874213,0.00845091083621,109.71836752862951,93.9803969361183,113.3927694075895,88.78182699590492,106.09871900277206,86.79768551584475,91.7546444463726,108.85966479978993,27.355609848478633,27.38169059496597,27.259057497594657,27.171572774275184,26.981347744410808,27.227777704378347,27.300120180692247,27.531577072484563,413.161428774,409.936304079,406.874821354,405.000009905,403.350157105,400.548870562,30950.0007095,1605410.39551,30950.0007095,1344339.69031,30950.0007095,1113915.74011,30950.0007095,905315.475952,30950.0007095,723667.055908,71.1522208557,71.1778052528,71.2033995618,71.2290032654,30.5247072051,29.9139314621,29.3461685162,28.8188752304,ADM1,1,1,BEN,BEN-ADM1-90618267B18729523,BJ-BO,Borgou,ADM1
2,1044245.5625,24917.6191406,1012121.4375,24917.6191406,981210.0625,24917.6191406,893766.25,24917.6191406,922012.0625,24917.6191406,951059.0,24917.6191406,865532.875,24917.6191406,838936.5625,24917.6191406,788795.4375,24917.6191406,813741.0625,24917.6191406,764758.0625,24917.6191406,99463.8994141,99567.0976562,99463.8994141,99567.0976562,99463.8994141,99567.0976562,99463.8994141,99567.0976562,99463.8994141,99567.0976562,99463.8994141,99567.0976562,99463.8994141,99567.0976562,99463.8994141,99567.0976562,99463.8994141,99567.0976562,0.00692522655863,0.00624105774374,0.00648511232071,0.00597366268007,0.00504254903739,0.00452583385859,0.00405785466973,0.00536384490469,0.00412420118272,85.61454030363275,89.21573925205522,99.4059697993638,76.64099214106614,77.40178005060957,85.71479646343934,88.29509720060406,95.81727237703512,28.18791754283339,28.278727757422594,28.09680011039933,28.106956885126376,28.044373215692527,28.058973168476193,28.560326304545686,28.597068654363927,413.407123609,410.623447878,408.132123924,405.589113066,403.925085205,401.130024424,24917.0800781,989253.0,24917.0800781,902525.5,24917.0800781,812490.4375,24917.0800781,715460.0,24917.0800781,617966.25,63.2162837376,63.233167377,63.2500558312,63.2669495054,29.9184846479,29.6642290677,29.4360702902,29.2326315312,ADM1,2,2,BEN,BEN-ADM1-90618267B96886188,BJ-AK,Atakora,ADM1
3,717111.125,12900.7998047,688450.625,12900.7998047,661042.0,12900.7998047,584882.1875,12900.7998047,609467.875,12900.7998047,634507.625,12900.7998047,563048.5,12900.7998047,540570.75,12900.7998047,497932.78125,12900.7998047,518677.09375,12900.7998047,478294.09375,12900.7998047,51461.6601562,51530.2109375,51461.6601562,51530.2109375,51461.6601562,51530.2109375,51461.6601562,51530.2109375,51461.6601562,51530.2109375,51461.6601562,51530.2109375,51461.6601562,51530.2109375,51461.6601562,51530.2109375,51461.6601562,51530.2109375,0.0188531408925,0.0153570062928,0.0168526251542,0.0169952781904,0.0116457458237,0.00988224969448,0.00885396125646,0.011314118236,0.0067533220825,102.86065896098054,102.9145819383259,111.92918662632226,87.15101044666422,107.6372682553974,90.98480367535419,101.47280009721808,112.49116708303447,27.087951917517774,27.087385388946736,26.9140046709967,26.876790528634515,26.72205146679365,26.86144807156893,27.031319912584337,27.29030206277853,412.773436308,410.722558903,408.057768563,406.118309882,404.356634992,400.974723451,12899.640625,676194.0625,12899.640625,587996.625,12899.640625,505221.0,12899.640625,425214.03125,12899.640625,351518.0,75.0373367055,75.0686102698,75.0998969828,75.1311973852,33.2295678335,31.5689777533,30.0579116,28.6806568396,ADM1,3,3,BEN,BEN-ADM1-90618267B21370665,BJ-DO,Donga,ADM1
4,864889.6875,16761.6796875,842118.625,16761.6796875,819315.125,16761.6796875,755960.75,16761.6796875,776578.8125,16761.6796875,797646.5,16761.6796875,735745.5,16761.6796875,716317.75,16761.6796875,679057.125,16761.6796875,697355.125,16761.6796875,661243.625,16761.6796875,66901.7185059,66975.7133789,66901.7185059,66975.7133789,66901.7185059,66975.7133789,66901.7185059,66975.7133789,66901.7185059,66975.7133789,66901.7185059,66975.7133789,66901.7185059,66975.7133789,66901.7185059,66975.7133789,66901.7185059,66975.7133789,0.0119435486948,0.0085657315361,0.010573827778,0.00923610035913,0.00574268581078,0.00518139808714,0.00573708645923,0.00646851725616,0.00413131071754,84.176615634418,83.37144291789943,93.19337046339645,79.83446959888526,99.0381521177125,72.65469852860033,97.50706021411379,104.62422448224575,27.52546107637077,27.665670671479955,27.456489609712904,27.336257267320175,27.10508812987478,27.329030632894195,27.21893245469907,27.705850119493643,412.875428797,410.86997582,408.414301877,407.354740786,403.684681532,401.950934814,16762.609375,817149.125,16762.609375,760992.625,16762.609375,699579.125,16762.609375,629350.3125,16762.609375,555593.1875,76.9824997605,77.0188386753,77.0551954165,77.0915694713,29.7020632178,28.823494659,28.0422431033,27.3501359064,ADM1,4,4,BEN,BEN-ADM1-90618267B38648394,BJ-CO,Collines,ADM1
5,778465.5625,3675.25976562,748652.5,3675.25976562,720486.0625,3675.25976562,642489.5625,3675.25976562,667548.375,3675.25976562,693541.0,3675.25976562,618749.1875,3675.25976562,594482.6875,3675.25976562,550830.25,3675.25976562,571426.5,3675.25976562,530446.25,3675.25976562,14614.7001953,14658.9199219,14614.7001953,14658.9199219,14614.7001953,14658.9199219,14614.7001953,14658.9199219,14614.7001953,14658.9199219,14614.7001953,14658.9199219,14614.7001953,14658.9199219,14614.7001953,14658.9199219,14614.7001953,14658.9199219,0.0587803317681,0.0530034394149,0.064794327063,0.0551551142093,0.0395955903755,0.0179738376565,0.0233442815588,0.0397098182439,0.0146307409114,88.21211920144384,90.86664973201195,101.63996115829895,77.97311818087013,103.59567704314647,79.15803284945534,99.78532339727805,115.22058021631685,27.868447978349927,28.04793958199911,27.7312211398173,27.59033142613582,27.334952967480557,27.57692992744189,27.496025280307812,27.9812001377996,410.83872133,410.027101909,408.265996032,406.245491594,402.185300998,398.766751791,3675.18994141,735265.0,3675.18994141,645689.375,3675.18994141,559442.75,3675.18994141,474132.59375,3675.18994141,394165.875,75.0575423472,75.0931758139,75.128826438,75.1644947219,23.9320142554,22.9556817882,22.0825976616,21.3042258681,ADM1,5,5,BEN,BEN-ADM1-90618267B4114795,BJ-PL,Plateau,ADM1
6,1070577.75,6136.90039062,1036286.0,6136.90039062,1003083.0625,6136.90039062,910130.375,6136.90039062,940140.1875,6136.90039062,971024.9375,6136.90039062,881011.125,6136.90039062,852938.25,6136.90039062,799669.5625,6136.90039062,825888.625,6136.90039062,774274.5625,6136.90039062,24465.8007812,24505.7402344,24465.8007812,24505.7402344,24465.8007812,24505.7402344,24465.8007812,24505.7402344,24465.8007812,24505.7402344,24465.8007812,24505.7402344,24465.8007812,24505.7402344,24465.8007812,24505.7402344,24465.8007812,24505.7402344,0.0655011277768,0.0492743056311,0.054757363925,0.0513154294158,0.04170640902,0.0336638369271,0.0347422069633,0.0394632676468,0.0332863892228,81.50245428959882,107.42650356082744,95.24817786278254,74.58454336353054,102.52525164981554,70.57959623336633,101.31359327455743,111.0503738069721,28.07942517562244,28.227491640591655,27.99016273469271,27.853529134007946,27.587947756935723,27.87482841478279,27.709369662365543,28.16625742359493,410.351148023,411.563638831,407.76649941,405.692507588,402.151733137,400.187063662,6136.45996094,1013722.8125,6136.45996094,918716.875,6136.45996094,822464.0,6136.45996094,721028.625,6136.45996094,620764.25,75.0508783496,75.0880522037,75.1252443836,75.1624555506,25.440909551,23.8979390311,22.5998775067,21.5073889257,ADM1,6,6,BEN,BEN-ADM1-90618267B88996385,BJ-ZO,Zou,ADM1
7,785015.75,2527.0,759344.75,2527.0,734902.75,2527.0,666484.25,2527.0,688631.8125,2527.0,711491.25,2527.0,645070.0625,2527.0,623743.0,2527.0,584208.75,2527.0,604052.8125,2527.0,565890.1875,2527.0,10034.7597656,10071.4101562,10034.7597656,10071.4101562,10034.7597656,10071.4101562,10034.7597656,10071.4101562,10034.7597656,10071.4101562,10034.7597656,10071.4101562,10034.7597656,10071.4101562,10034.7597656,10071.4101562,10034.7597656,10071.4101562,0.0393792792327,0.0303463069375,0.0361728153508,0.0379172667285,0.0183341254433,0.0192859975577,0.0180265203553,0.0170657579659,0.0148620814965,89.50957579668273,108.09895284758058,94.16697170558756,80.4995014927215,105.32347566137386,76.48688984075271,107.95260840796442,112.68481645701468,27.889048837418773,28.09791880035509,27.786764993799842,27.723793645905204,27.591663407946893,27.788436022869135,27.604613970857667,28.184811875993827,409.120090951,411.653153887,405.809450949,404.753084187,401.426371035,398.661398964,2527.5,738303.25,2527.5,668039.3125,2527.5,596253.0625,2527.5,520396.3125,2527.5,445374.6875,74.1096467226,74.1457175125,74.1818041483,74.2179094616,25.8251985777,23.8512092235,22.2140818186,20.84917538,ADM1,7,7,BEN,BEN-ADM1-90618267B62468414,BJ-KO,Kouffo,ADM1
8,1843196.25,3563.2800293,1743000.75,3563.2800293,1645527.875,3563.2800293,1393574.5,3563.2800293,1471565.375,3563.2800293,1558295.25,3563.2800293,1317315.875,3563.2800293,1248572.25,3563.2800293,1112301.625,3563.2800293,1175291.25,3563.2800293,1054556.25,3563.2800293,14651.6904297,14682.4101562,14651.6904297,14682.4101562,14651.6904297,14682.4101562,14651.6904297,14682.4101562,14651.6904297,14682.4101562,14651.6904297,14682.4101562,14651.6904297,14682.4101562,14651.6904297,14682.4101562,14651.6904297,14682.4101562,0.545914543833,0.4265627994,0.410387447963,0.354576312655,0.26237006376,0.219461659626,0.237820192773,0.249821893179,0.213902667933,89.99642857253203,94.93303571124402,97.89791667871012,77.83898809510016,101.9398809524245,79.52559524092644,101.88482142609595,125.95297620666477,27.986607142980557,28.110714285656208,27.783035714292975,27.74196428570703,27.549404761716016,27.777976190403592,27.666666666666664,28.181845237928272,410.220458739,411.05908402,405.843623402,404.95052199,401.918061072,400.565568577,3677.76000977,1831946.25,3677.76000977,1481638.375,3677.76000977,1192772.25,3677.76000977,947992.375,3677.76000977,746246.1875,72.6423441843,72.676158176,72.7099888624,72.7438344541,23.8116227815,22.0138869291,20.5600796092,19.3848848775,ADM1,8,8,BEN,BEN-ADM1-90618267B49170636,BJ-AQ,Atlantique,ADM1
9,810312.6875,87.5699996948,799549.375,87.5699996948,795073.375,87.5699996948,773086.875,87.5699996948,782068.125,87.5699996948,785112.25,87.5699996948,768651.9375,87.5699996948,756699.375,87.5699996948,757290.375,87.5699996948,763033.25,87.5699996948,749807.5,87.5699996948,337.679992676,344.020019531,337.679992676,344.020019531,337.679992676,344.020019531,337.679992676,344.020019531,337.679992676,344.020019531,337.679992676,344.020019531,337.679992676,344.020019531,337.679992676,344.020019531,337.679992676,344.020019531,16.1028837313,14.1327516849,14.1392544464,10.5801794244,9.96910907176,10.3683365721,9.51173158944,9.32509404761,10.5506402744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.030288829,411.286866755,407.369178827,405.003125713,403.077542324,398.341842931,87.4199981689,670502.5625,87.4199981689,696448.9375,87.4199981689,716036.6875,87.4199981689,721733.5625,87.4199981689,714732.625,71.8242695363,71.8601368045,71.8960238357,71.9319275045,20.8691799173,19.9015005782,18.9869520649,18.1224053384,ADM1,9,9,BEN,BEN-ADM1-90618267B28294265,BJ-LI,Littoral,ADM1
10,742639.25,2219.43994141,722105.875,2219.43994141,700888.5625,2219.43994141,642079.875,2219.43994141,661568.6875,2219.43994141,680513.9375,2219.43994141,623960.75,2219.43994141,606693.125,2219.43994141,572944.0,2219.43994141,589499.9375,2219.43994141,555431.5625,2219.43994141,9057.91992188,9094.12011719,9057.91992188,9094.12011719,9057.91992188,9094.12011719,9057.91992188,9094.12011719,9057.91992188,9094.12011719,9057.91992188,9094.12011719,9057.91992188,9094.12011719,9057.91992188,9094.12011719,9057.91992188,9094.12011719,0.141322587187,0.119225034659,0.128297524079,0.132638466478,0.0931110679341,0.0856813617279,0.0839784468267,0.0920536126829,0.070300652663,88.83940677803434,98.12245763160269,85.26963275060731,77.98361581941238,101.8942090394838,76.5569208997811,104.48050847822557,108.97824856370563,27.85720338964858,28.171610169577143,27.775423728802853,27.749576271197142,27.747316384459037,27.85409604530476,27.666666666666668,28.356920904200937,409.280302159,411.294933071,403.335011821,404.156163961,401.130345188,398.933309662,2282.10009766,709829.875,2282.10009766,654562.875,2282.10009766,595322.3125,2282.10009766,529431.875,2282.10009766,461683.625,72.4889419173,72.5233874255,72.5578490129,72.5923278331,22.9079769135,21.9821629366,21.4092305088,21.1555832845,ADM1,10,10,BEN,BEN-ADM1-90618267B22503015,BJ-MO,Mono,ADM1
11,1404677.375,1531.52001953,1349308.75,1531.52001953,1297468.75,1531.52001953,1151907.0,1531.52001953,1196802.625,1531.52001953,1246615.5,1531.52001953,1105850.125,1531.52001953,1069060.5,1531.52001953,989700.5,1531.52001953,1027137.5,1531.52001953,953181.125,1531.52001953,6256.91992188,6282.25,6256.91992188,6282.25,6256.91992188,6282.25,6256.91992188,6282.25,6256.91992188,6282.25,6256.91992188,6282.25,6256.91992188,6282.25,6256.91992188,6282.25,6256.91992188,6282.25,0.892455646299,0.706865639121,0.713577389315,0.639304019515,0.536783668987,0.545621003844,0.51122689179,0.518711391419,0.474066320498,94.32986104966969,94.01840278909593,105.92083322545514,80.1309027448581,105.49861106014707,85.46458324990236,102.09027777337988,127.76319442801697,27.95104166724875,28.09027777803648,27.715625000970128,27.664930556655033,27.42430555723711,27.657638890570443,27.58541666783082,28.084722223515726,410.205889697,411.019243628,407.520218201,405.303301771,402.731602911,399.333816202,1576.98999023,1338465.375,1576.98999023,1170905.25,1576.98999023,1016681.5625,1576.98999023,868658.4375,1576.98999023,732403.25,73.1346590215,73.1708537854,73.2070685108,73.2433015607,24.6818155178,23.590952885,22.6892927412,21.9563491028,ADM1,11,11,BEN,BEN-ADM1-90618267B26677807,BJ-OU,Ouémé,ADM1
