asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2010.mean,udel_precip_v501_mean.2011.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2010.count,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,Level,admin1Name,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,33163.3708496,2691512.60938,33163.3708496,2617204.89062,33163.3708496,2545497.26562,33163.3708496,2474042.5,33163.3708496,2274996.03906,33163.3708496,2340101.39844,33163.3708496,2405468.67969,33163.3708496,2212961.85938,33163.3708496,2151760.72656,33163.3708496,2094001.375,33163.3708496,2037760.10156,132830.353516,132690.60498,132830.353516,132690.60498,132830.353516,132690.60498,132830.353516,132690.60498,132830.353516,132690.60498,132830.353516,132690.60498,132830.353516,132690.60498,132830.353516,132690.60498,132830.353516,132690.60498,0.059864899537,0.07576509378,0.0615846123912,0.0594000607155,0.036828817334,0.0417505366627,0.0446981173681,0.0342949603629,0.0293570597629,148.996848109,142.334775258,131.130543286,173.980523285,111.170639999,132.148775374,164.009492602,140.999078402,26.5654286464,26.6489643722,26.3031826732,26.1953665877,26.11161875,25.8948423469,26.1772502247,26.4458370665,410.899018902,409.314291548,407.982426079,404.017918418,402.945837512,398.13756743,2598553.67969,33233.9506836,2289308.01562,33233.9506836,2009667.92969,33233.9506836,55.6655410001,55.7304693288,55.7088178654,55.6871750591,20.9657141061,17.9420707884,15.7101463619,14.044356921,CI-BS,Bas-Sassandra,0,0,CIV,CIV-ADM1-50440921B36497067,ADM1,Bas-Sassandra,ADM1
1,24727.109375,337700.40625,24727.109375,327822.25,24727.109375,318407.25,24727.109375,309591.53125,24727.109375,285350.75,24727.109375,293150.59375,24727.109375,301101.40625,24727.109375,278248.71875,24727.109375,271520.125,24727.109375,265003.8125,24727.109375,258895.953125,98775.8881164,98643.3402209,98775.8881164,98643.3402209,98775.8881164,98643.3402209,98775.8881164,98643.3402209,98775.8881164,98643.3402209,98775.8881164,98643.3402209,98775.8881164,98643.3402209,98775.8881164,98643.3402209,98775.8881164,98643.3402209,0.0608918313124,0.0645401191629,0.0586081744603,0.0577764082542,0.0089756898002,0.0265123482445,0.0373089602328,0.0138562347482,0.00688711975828,87.150082474,116.684909523,68.4804021596,128.223923208,125.000193893,134.759218507,135.595354932,108.048148206,26.8718209258,26.8420802547,26.9432847929,26.8047560626,26.6060382957,26.138681354,26.669580859,27.185336301,413.792035098,411.010892977,409.097094734,406.94262964,404.330187823,401.28798013,325866.1875,24727.2597656,286789.59375,24727.2597656,255307.734375,24727.2597656,65.5171415321,65.6330983102,65.5944229294,65.5557707093,26.504334318,26.3039685098,26.1319984487,25.9861932286,CI-DN,Denguele,1,1,CIV,CIV-ADM1-50440921B91782267,ADM1,Denguele,ADM1
2,2476.86010742,5475988.0,2476.86010742,5339742.0,2476.86010742,5204258.0,2476.86010742,5073700.0,2476.86010742,4700706.0,2476.86010742,4822195.0,2476.86010742,4947110.5,2476.86010742,4582689.5,2476.86010742,4466491.5,2476.86010742,4354213.0,2476.86010742,4243839.5,10088.9599609,10055.2207031,10088.9599609,10055.2207031,10088.9599609,10055.2207031,10088.9599609,10055.2207031,10088.9599609,10055.2207031,10088.9599609,10055.2207031,10088.9599609,10055.2207031,10088.9599609,10055.2207031,10088.9599609,10055.2207031,5.08842761879,5.71138558431,5.00895627217,4.58844431757,3.29228100854,3.92803212771,4.24913512949,3.51451105492,2.41711983266,150.770222817,124.599373877,159.138889233,158.788503038,127.211412079,123.51678563,182.437607981,146.617673044,27.3863744602,27.4650941578,27.0490440301,26.9101428409,26.9295094528,26.8066861034,27.1061789985,27.5555859419,410.706442538,409.789279238,407.132309475,405.047464647,403.45611665,400.019028873,5262951.5,2525.35009766,4695915.0,2525.35009766,4167630.5,2525.35009766,57.7293940332,57.8031260005,57.7785374908,57.7539603804,16.4368693039,16.3992523641,16.3816372002,16.3842303437,CI-AB,District Autonome D'Abidjan,2,2,CIV,CIV-ADM1-50440921B88297474,ADM1,District Autonome D'Abidjan,ADM1
3,2441.89013672,407608.0,2441.89013672,398591.5625,2441.89013672,389510.0625,2441.89013672,380704.59375,2441.89013672,355617.46875,2441.89013672,363804.0,2441.89013672,372187.40625,2441.89013672,347594.78125,2441.89013672,339853.4375,2441.89013672,332319.125,2441.89013672,324892.0,9782.2890625,9751.37988281,9782.2890625,9751.37988281,9782.2890625,9751.37988281,9782.2890625,9751.37988281,9782.2890625,9751.37988281,9782.2890625,9751.37988281,9782.2890625,9751.37988281,9782.2890625,9751.37988281,9782.2890625,9751.37988281,0.919876873272,0.92640218368,0.970234037291,1.01091062732,0.743875916134,0.908000895611,0.971822600271,0.788179817745,0.635166519036,93.2889538124,85.1656804277,90.5386010527,109.301023345,103.118290551,82.4267403763,128.461181873,99.0772729997,27.1452309895,27.4820612866,27.0699485711,27.1069365425,26.8305627056,26.4627066553,26.6985090694,26.8369726674,413.385879432,409.740204612,408.140261665,403.245969524,402.265593167,401.67639927,390356.875,2453.22998047,353032.5,2453.22998047,317692.375,2453.22998047,63.4156223828,63.5067686869,63.476371524,63.4459894241,16.7312756743,17.3461508407,18.1145042812,19.0616760306,CI-YM,District Autonome De Yamoussoukro,3,3,CIV,CIV-ADM1-50440921B9500253,ADM1,District Autonome De Yamoussoukro,ADM1
4,18456.4902344,1900141.125,18456.4902344,1847389.0,18456.4902344,1796032.75,18456.4902344,1746417.875,18456.4902344,1605878.25,18456.4902344,1651372.75,18456.4902344,1698166.0,18456.4902344,1561733.0,18456.4902344,1518978.5,18456.4902344,1477193.875,18456.4902344,1436842.625,73843.7490234,73747.0512695,73843.7490234,73747.0512695,73843.7490234,73747.0512695,73843.7490234,73747.0512695,73843.7490234,73747.0512695,73843.7490234,73747.0512695,73843.7490234,73747.0512695,73843.7490234,73747.0512695,73843.7490234,73747.0512695,0.129775538201,0.157374451066,0.135009471348,0.140508856003,0.107610729714,0.107596149039,0.112075433372,0.0923867784928,0.0881063402111,113.286667594,120.101224266,125.714292692,149.533034712,107.949398183,115.773728121,140.858618032,120.703233301,27.0274820814,27.1367865731,26.6863763568,26.5975646344,26.5129506205,26.2697338471,26.450232417,26.7001308868,412.43695746,410.194059332,406.523602624,405.998516018,401.921221546,399.721613416,1830526.375,18484.7402344,1611822.25,18484.7402344,1413506.0,18484.7402344,58.9032027996,58.9767067156,58.9521948831,58.9276934067,14.7255198301,15.0055453633,15.4180146607,15.9701199251,CI-GD,Goh-Djiboua,4,4,CIV,CIV-ADM1-50440921B11931239,ADM1,Goh-Djiboua,ADM1
5,30703.3279591,1466116.77346,30703.3279591,1428514.96996,30703.3279591,1392330.32172,30703.3279591,1357167.76389,30703.3279591,1258879.26485,30703.3279591,1290531.47113,30703.3279591,1323229.91059,30703.3279591,1228308.35928,30703.3279591,1198654.66429,30703.3279591,1170017.32383,30703.3279591,1142332.58958,123020.239785,122872.629795,123020.239785,122872.629795,123020.239785,122872.629795,123020.239785,122872.629795,123020.239785,122872.629795,123020.239785,122872.629795,123020.239785,122872.629795,123020.239785,122872.629795,123020.239785,122872.629795,0.0871738800602,0.123489286558,0.101880691435,0.0977230510148,0.064748292178,0.0798914566308,0.0812333872583,0.0612909175845,0.050405668471,83.0208484558,88.7093584893,77.5038321125,106.361645268,90.175814796,81.613671333,107.533425503,95.9868564856,27.6014496096,27.8464386023,27.5053785404,27.4971510358,27.2907270211,27.0419586432,27.1542487109,27.4423210137,413.856101147,411.073778587,408.631064365,406.53778366,402.644370451,401.358649945,1414860.87314,30792.1195116,1261994.82487,30792.1195116,1125876.42404,30792.1195116,65.0331984982,65.1309332532,65.0983381593,65.0657598754,16.5642163731,16.8418700146,17.1643311204,17.5349502244,CI-LC,Lacs,5,5,CIV,CIV-ADM1-50440921B28754641,ADM1,Lacs,ADM1
6,36177.1293945,2870681.53125,36177.1293945,2780163.78125,36177.1293945,2693410.71875,36177.1293945,2610010.8125,36177.1293945,2377712.19531,36177.1293945,2452515.99219,36177.1293945,2529383.39062,36177.1293945,2306070.64062,36177.1293945,2236922.57031,36177.1293945,2170287.82812,36177.1293945,2105628.9375,144606.432617,144447.019287,144606.432617,144447.019287,144606.432617,144447.019287,144606.432617,144447.019287,144606.432617,144447.019287,144606.432617,144447.019287,144606.432617,144447.019287,144606.432617,144447.019287,144606.432617,144447.019287,0.0421182295198,0.0532836733585,0.0420450733136,0.0356693399918,0.0180188016467,0.0252638011952,0.0267870053984,0.0186364342241,0.0130050324108,149.936503278,159.374159659,124.228451736,173.012761522,139.724410803,156.775642593,174.338584371,144.58375507,26.0962453454,26.2286937774,26.0630039177,25.7501470597,25.6482978797,25.4532387623,25.7240015853,25.9771872217,413.199314609,409.910663298,408.935115674,405.278765268,403.615569251,399.284242014,2764681.95312,36191.4702148,2393057.76562,36191.4702148,2071195.76562,36191.4702148,59.6488297721,59.7388224843,59.7088094904,59.67881181,19.7267886949,18.9630203203,18.3686310138,17.9291814862,CI-MG,Montagnes,6,6,CIV,CIV-ADM1-50440921B85774629,ADM1,Montagnes,ADM1
7,28080.8203125,2729056.75,28080.8203125,2647850.5,28080.8203125,2570536.25,28080.8203125,2496642.0,28080.8203125,2293752.0,28080.8203125,2358408.75,28080.8203125,2425992.5,28080.8203125,2231856.25,28080.8203125,2172405.75,28080.8203125,2115287.25,28080.8203125,2060464.25,112664.632812,112559.115234,112664.632812,112559.115234,112664.632812,112559.115234,112664.632812,112559.115234,112664.632812,112559.115234,112664.632812,112559.115234,112664.632812,112559.115234,112664.632812,112559.115234,112664.632812,112559.115234,0.0792635413153,0.110133324865,0.0805516876715,0.083468794229,0.0593411217492,0.060874300752,0.0640567072754,0.054523281963,0.0507372144118,95.7329886601,108.76409088,102.579654796,132.804714863,115.831298013,122.605258458,136.684952424,104.232101107,26.7718021304,26.8879856313,26.5676758574,26.3380595197,26.2005665661,25.9676711797,26.2652357996,26.4696188369,412.37138761,409.436464147,407.208039435,406.213916717,402.708300256,400.037972524,2628682.75,28192.6699219,2301523.75,28192.6699219,2026262.5,28192.6699219,62.2128383969,62.3067406861,62.2754240715,62.2441228986,20.0958756328,19.0929774807,18.2439756948,17.533088586,CI-SM,Sassandra-Marahoue,7,7,CIV,CIV-ADM1-50440921B32709945,ADM1,Sassandra-Marahoue,ADM1
8,47668.8128662,1980173.30957,47668.8128662,1912386.42578,47668.8128662,1846736.90039,47668.8128662,1784302.10645,47668.8128662,1609133.9082,47668.8128662,1665419.35352,47668.8128662,1723545.78906,47668.8128662,1554767.26367,47668.8128662,1502310.79395,47668.8128662,1452088.59766,47668.8128662,1403356.30273,190434.554688,190193.130493,190434.554688,190193.130493,190434.554688,190193.130493,190434.554688,190193.130493,190434.554688,190193.130493,190434.554688,190193.130493,190434.554688,190193.130493,190434.554688,190193.130493,190434.554688,190193.130493,0.145080888345,0.1788051451,0.12867232935,0.124004369652,0.0566361298977,0.0866966127388,0.0978931470054,0.0781186296422,0.0326518132241,92.558235587,98.6226627678,78.4813074646,117.242792001,112.839445081,109.017918709,125.168652274,94.635198155,27.6332638054,27.671448076,27.3997057206,27.6236087941,27.4276956389,27.0707304896,27.4697134713,27.9392280786,412.504831218,411.283053267,408.791423241,405.650114465,403.664730922,401.731603843,1905196.67969,47669.0900879,1623945.88281,47669.0900879,1379519.18115,47669.0900879,65.7485863939,65.8535894784,65.8185692319,65.7835683314,28.49398575,27.680036723,26.9226773423,26.2175019268,CI-SV,Savanes,8,8,CIV,CIV-ADM1-50440921B99341844,ADM1,Savanes,ADM1
9,33457.6300297,1616060.39592,33457.6300297,1585200.36156,33457.6300297,1554937.96147,33457.6300297,1525491.88657,33457.6300297,1440904.47093,33457.6300297,1468521.36716,33457.6300297,1496724.50143,33457.6300297,1413900.04147,33457.6300297,1387714.63291,33457.6300297,1362030.95009,33457.6300297,1336760.74931,133814.413982,133653.794477,133814.413982,133653.794477,133814.413982,133653.794477,133814.413982,133653.794477,133814.413982,133653.794477,133814.413982,133653.794477,133814.413982,133653.794477,133814.413982,133653.794477,133814.413982,133653.794477,0.116011085073,0.187098066136,0.113529835159,0.112214379681,0.0511594563245,0.0835761476801,0.0881408714023,0.0734147843416,0.0370987865335,80.7824736775,88.9845811099,71.6506431746,108.887873113,99.4987319901,89.1652591158,116.461042631,93.5485481781,27.1621676639,27.2326975276,27.1106907716,27.2573706197,27.0206699659,26.7218461702,26.9436154558,27.2268942496,413.83691101,411.163039735,408.150816889,406.28592252,403.902674453,401.716197118,1555075.41646,33493.5429106,1431634.87719,33493.5429106,1313311.7569,33493.5429106,68.0521326296,68.1769496932,68.1353184546,68.0937126565,24.0761563754,23.9755240465,23.9229839121,23.9189812686,CI-VB,Valle Du Bandama,9,9,CIV,CIV-ADM1-50440921B62986508,ADM1,Valle Du Bandama,ADM1
10,36735.8574219,1021863.625,36735.8574219,989330.09375,36735.8574219,957385.84375,36735.8574219,927119.375,36735.8574219,842524.21875,36735.8574219,869741.40625,36735.8574219,897921.65625,36735.8574219,816557.40625,36735.8574219,791174.875,36735.8574219,766891.0,36735.8574219,743513.40625,146744.408997,146548.888611,146744.408997,146548.888611,146744.408997,146548.888611,146744.408997,146548.888611,146744.408997,146548.888611,146744.408997,146548.888611,146744.408997,146548.888611,146744.408997,146548.888611,146744.408997,146548.888611,0.0479410530413,0.0722902139649,0.0454947929966,0.0484778398755,0.0127597433365,0.0217266822342,0.0296804329895,0.0141642971736,0.00855738207119,94.6416170182,109.984870399,77.4016905739,130.021916007,120.415090715,122.534029584,138.546850238,104.515446064,26.4079942269,26.4801926873,26.3927821431,26.2514580138,26.1352891267,25.8567153075,26.1566081475,26.4418068101,413.363892898,411.357622393,408.815484819,406.719067168,404.354331864,401.258272604,983899.5625,36734.0478516,848457.125,36734.0478516,730953.5,36734.0478516,65.8345857923,65.9596611787,65.9179427869,65.8762512203,25.0169250656,24.3332737361,23.7054911027,23.1290082354,CI-WR,Woroba,10,10,CIV,CIV-ADM1-50440921B49666023,ADM1,Woroba,ADM1
11,45257.0087891,1061417.6875,45257.0087891,1039088.9375,45257.0087891,1017100.21875,45257.0087891,996354.8125,45257.0087891,937145.75,45257.0087891,956348.1875,45257.0087891,976035.75,45257.0087891,918992.0,45257.0087891,900724.65625,45257.0087891,883645.09375,45257.0087891,866897.875,180864.632812,180700.786743,180864.632812,180700.786743,180864.632812,180700.786743,180864.632812,180700.786743,180864.632812,180700.786743,180864.632812,180700.786743,180864.632812,180700.786743,180864.632812,180700.786743,180864.632812,180700.786743,0.0370022554275,0.0559005686541,0.0385164910761,0.0331319846686,0.012719743523,0.0176590878905,0.0223638084779,0.0137413921888,0.01011573637,62.8600633546,81.8046497082,82.8542772616,93.8673811356,93.9973716326,80.475233758,97.1671404032,89.6414982917,27.77895681,27.8602878282,27.4709571963,27.2829206832,27.1132498045,26.873688895,27.0856849205,27.545214134,412.958098008,411.742220716,408.915373082,407.303178257,404.851000892,400.964924576,1023174.71875,34844.3193359,934388.90625,34844.3193359,853473.25,34844.3193359,70.4843541446,70.6033870312,70.5636866532,70.5240091582,27.7629438259,26.7682659953,25.9066564114,25.1637550781,CI-ZZ,Zanzan,11,11,CIV,CIV-ADM1-50440921B41346230,ADM1,Zanzan,ADM1
12,24018.6601562,1649007.875,24018.6601562,1619873.25,24018.6601562,1591424.75,24018.6601562,1563683.0,24018.6601562,1484329.0,24018.6601562,1510155.125,24018.6601562,1536416.75,24018.6601562,1459471.5,24018.6601562,1434767.5,24018.6601562,1410939.25,24018.6601562,1388193.0,96986.4418945,96829.5788574,96986.4418945,96829.5788574,96986.4418945,96829.5788574,96986.4418945,96829.5788574,96986.4418945,96829.5788574,96986.4418945,96829.5788574,96986.4418945,96829.5788574,96986.4418945,96829.5788574,96986.4418945,96829.5788574,0.0943869554031,0.124052843412,0.0991672799524,0.0885385359,0.0720766721839,0.0663044144098,0.0672998847376,0.062015976099,0.0565376587266,116.860162223,102.028071476,117.974680311,128.432360289,100.999775792,100.297367325,139.519360326,118.828029134,27.4502419651,27.6114826784,27.1664166543,27.067190429,27.017740292,26.8512030482,27.0554329539,27.4214187786,411.721281416,409.882435012,407.23437447,405.024646344,401.543215633,398.903849404,1597746.0,24279.5878906,1482188.875,24279.5878906,1373360.75,24279.5878906,59.9992759295,60.0781166748,60.0518244526,60.0255443115,16.2089449215,15.7943769282,15.4666484142,15.2123918071,CI-LG,Lagunes,12,12,CIV,CIV-ADM1-50440921B33348156,ADM1,Lagunes,ADM1
13,16165.6796875,1330838.75,16165.6796875,1306479.0,16165.6796875,1281761.0,16165.6796875,1257989.5,16165.6796875,1190114.5,16165.6796875,1212749.25,16165.6796875,1235342.5,16165.6796875,1168675.25,16165.6796875,1147743.5,16165.6796875,1127190.25,16165.6796875,1106287.25,65952.927002,65814.2583008,65952.927002,65814.2583008,65952.927002,65814.2583008,65952.927002,65814.2583008,65952.927002,65814.2583008,65952.927002,65814.2583008,65952.927002,65814.2583008,65952.927002,65814.2583008,65952.927002,65814.2583008,0.180609079006,0.217641931557,0.182756319758,0.170401710896,0.0914690534471,0.103680567016,0.132929984625,0.0809278562433,0.0700188087689,115.181521215,96.811084846,113.2332678,115.342651054,103.095969109,109.266221283,134.857953006,128.735065005,27.3226916168,27.4404408279,26.8954786195,26.7772449887,26.7888199878,26.6741656045,26.83766812,27.189246978,411.942064482,408.749310554,407.088440005,405.662654981,401.628644578,399.135978652,1270627.0,16495.6484375,1173607.0,16495.6484375,1079873.375,16495.6484375,62.5988390007,62.6806219358,62.6533485863,62.626087482,21.5049457777,20.1418279157,19.2011799038,18.5835016071,CI-CM,Comoe,13,13,CIV,CIV-ADM1-50440921B88312895,ADM1,Comoe,ADM1
