asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2010.count,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2016.mean,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2010.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2005.count,gpw_v4_rev11_count.2005.sum,gpw_v4_rev11_count.2000.count,gpw_v4_rev11_count.2000.sum,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2005.mean,ambient_air_pollution_2013_fus_calibrated.2000.mean,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,3567886.25,668.719970703,3472665.0,668.719970703,3368609.0,668.719970703,3277129.5,668.719970703,3180963.5,668.719970703,3092303.0,668.719970703,2912967.25,668.719970703,3009787.75,668.719970703,2832025.5,668.719970703,2746718.5,668.719970703,2668278.0,668.719970703,2652.9699707,2630.57006836,2652.9699707,2630.57006836,2652.9699707,2630.57006836,2652.9699707,2630.57006836,2652.9699707,2630.57006836,2652.9699707,2630.57006836,2652.9699707,2630.57006836,2652.9699707,2630.57006836,2652.9699707,2630.57006836,9.07616839743,9.18101595994,8.14216746274,8.27076984967,7.33942990906,6.59425943639,7.25098742494,5.51660288356,5.26431147654,35.725,43.2,60.5916666667,27.5083333333,51.7666666667,33.0833333333,65.275,55.9333333333,25.975,25.7666666667,25.6333333333,25.425,25.6916666667,25.6333333333,25.5416666667,26.3166666667,413.656801184,408.583156153,405.891548999,407.699648793,397.844908559,405.18878136,668.619995117,3795242.5,668.619995117,3283461.5,668.619995117,2811973.75,668.619995117,2445676.5,668.619995117,2140012.75,42.9245480414,42.9345451049,42.9445412948,42.954541748,37.7266704257,37.9554210141,38.194652193,38.4443899507,40.6542412855,40.2274222098,ADM1,0,SEN,SEN-ADM1-17790640B61052351,SN-DK,Dakar,ADM1
1,1811589.125,5902.10009766,1757403.375,5902.10009766,1710208.75,5902.10009766,1662257.375,5902.10009766,1616439.875,5902.10009766,1569423.625,5902.10009766,1483429.375,5902.10009766,1524072.75,5902.10009766,1440688.25,5902.10009766,1401197.875,5902.10009766,1360818.25,5902.10009766,23559.25,23508.7402344,23559.25,23508.7402344,23559.25,23508.7402344,23559.25,23508.7402344,23559.25,23508.7402344,23559.25,23508.7402344,23559.25,23508.7402344,23559.25,23508.7402344,23559.25,23508.7402344,0.386270564133,0.321240290298,0.246078134558,0.237020037706,0.197929986954,0.187791503601,0.197214117112,0.180225331663,0.164790177185,48.8852913995,44.8056810799,48.576115176,37.0636740806,44.5244891035,40.4308739384,62.6346770608,54.5175385803,28.085072389,27.9722308849,27.9524686221,28.077031687,28.0128148576,27.6026272183,27.671186195,28.3296787817,413.336891847,410.488472599,408.707938303,405.882268891,400.122535415,399.157484403,5902.25976562,1904746.125,5902.25976562,1647894.875,5902.25976562,1411266.125,5902.25976562,1227429.625,5902.25976562,1074023.875,43.9101807123,43.9176940295,43.9252090403,43.9327260373,50.2014823629,48.3576300046,46.6190561094,44.9790073623,45.7841865462,46.4211776971,ADM1,1,SEN,SEN-ADM1-17790640B81501835,SN-DB,Diourbel,ADM1
2,898371.3125,8382.390625,876634.875,8382.390625,849267.0,8382.390625,824703.375,8382.390625,799655.0625,8382.390625,778261.9375,8382.390625,734070.5,8382.390625,756658.0,8382.390625,715233.4375,8382.390625,693775.5625,8382.390625,673182.25,8382.390625,34071.4199219,33989.96875,34071.4199219,33989.96875,34071.4199219,33989.96875,34071.4199219,33989.96875,34071.4199219,33989.96875,34071.4199219,33989.96875,34071.4199219,33989.96875,34071.4199219,33989.96875,34071.4199219,33989.96875,0.041201425975,0.0299347260096,0.0250512415358,0.0240697566595,0.0145004598613,0.0137132396609,0.0145927698972,0.0136206715282,0.012605400331,57.9449296182,58.4393124316,59.9682635818,53.1634801849,63.2283667942,52.139702209,79.8953723997,71.7315302486,27.8381381426,27.7427133007,27.4283968848,27.7394881637,27.5172372915,27.3723733289,27.4390814732,28.0490638003,413.638101439,410.149849023,407.833869533,405.774857474,398.49088967,401.310807018,8449.41992188,965571.8125,8449.41992188,835366.5,8449.41992188,715412.25,8449.41992188,622220.1875,8449.41992188,544454.3125,44.7624699825,44.7696027671,44.7767368621,44.7838726058,40.3651582662,39.4118137726,38.505515573,37.6433185301,38.7462414791,39.5012654697,ADM1,2,SEN,SEN-ADM1-17790640B95944518,SN-FK,Fatick,ADM1
3,685933.4375,13353.0400391,667355.4375,13353.0400391,647335.375,13353.0400391,630502.4375,13353.0400391,612861.3125,13353.0400391,594627.5,13353.0400391,562777.0625,13353.0400391,579114.8125,13353.0400391,546567.8125,13353.0400391,531417.875,13353.0400391,516618.6875,13353.0400391,53347.9183044,53284.640686,53347.9183044,53284.640686,53347.9183044,53284.640686,53347.9183044,53284.640686,53347.9183044,53284.640686,53347.9183044,53284.640686,53347.9183044,53284.640686,53347.9183044,53284.640686,53347.9183044,53284.640686,0.0126162966211,0.00992805301432,0.00708214294825,0.00592932326318,0.00361032267447,0.00344845844129,0.00340948982147,0.00344072769453,0.00277776707986,61.8661280438,56.5803848588,53.1715947516,50.0806530594,53.4322525738,47.4979536628,69.1483419726,73.6601149266,28.8520535763,28.8685406222,28.5408713151,28.7170330645,28.8121866447,28.370437833,28.4265148554,28.8761774201,412.959291275,410.006660716,405.812342179,406.899616329,399.853152182,403.451249498,13352.5009766,746613.1875,13352.5009766,645957.375,13352.5009766,553218.9375,13352.5009766,481161.46875,13352.5009766,421026.65625,45.0423636768,45.0498613243,45.0573604682,45.0648612432,38.6810925487,37.538420561,36.4533033624,35.4219132918,35.9474746157,36.2433102881,ADM1,3,SEN,SEN-ADM1-17790640B42449421,SN-KA,Kaffrine,ADM1
4,1162141.625,6355.0703125,1128700.5,6355.0703125,1096966.5,6355.0703125,1065509.75,6355.0703125,1036231.25,6355.0703125,1007742.0,6355.0703125,950486.5625,6355.0703125,978940.625,6355.0703125,923277.9375,6355.0703125,897175.8125,6355.0703125,871168.5,6355.0703125,25420.5816345,25364.441864,25420.5816345,25364.441864,25420.5816345,25364.441864,25420.5816345,25364.441864,25420.5816345,25364.441864,25420.5816345,25364.441864,25420.5816345,25364.441864,25420.5816345,25364.441864,25420.5816345,25364.441864,0.121283057409,0.0968737900088,0.0734832016892,0.071144326756,0.0551806235054,0.0490005870722,0.0557530504767,0.0485828519857,0.0385815503369,61.6515943359,60.5220613697,57.9244792298,58.6918668723,64.3396755424,52.7135016379,80.1322577865,74.8804750915,28.1947698952,28.1262369557,27.6916708829,28.0623709431,27.861365106,27.6734132669,27.7697346316,28.333597065,414.612515397,411.117623112,407.416480612,406.176958937,395.818138373,401.392538763,6369.87988281,1222897.0,6369.87988281,1058038.75,6369.87988281,906146.4375,6369.87988281,788125.0,6369.87988281,689630.375,45.2180822269,45.2257107044,45.2333412189,45.2409731765,38.0905917312,37.1916551661,36.324363165,35.4873519957,36.3389657768,37.3459893954,ADM1,4,SEN,SEN-ADM1-17790640B53258178,SN-KL,Kaolack,ADM1
5,813789.8125,16520.1308594,790018.1875,16520.1308594,767828.25,16520.1308594,746348.5625,16520.1308594,725922.0,16520.1308594,705181.75,16520.1308594,666143.5,16520.1308594,685296.9375,16520.1308594,646990.625,16520.1308594,628491.0625,16520.1308594,610717.3125,16520.1308594,65986.8543261,65894.0700353,65986.8543261,65894.0700353,65986.8543261,65894.0700353,65986.8543261,65894.0700353,65986.8543261,65894.0700353,65986.8543261,65894.0700353,65986.8543261,65894.0700353,65986.8543261,65894.0700353,65986.8543261,65894.0700353,0.00873309074324,0.00633773066832,0.00573141374073,0.00561127094826,0.00441934605894,0.00636331448527,0.00475274332157,0.00780121545493,0.00560534218903,105.114468889,88.3762719063,83.9655938209,74.797890864,73.9500114287,71.5175152344,92.2268745001,110.347052055,28.469206035,28.5746353419,28.3581732774,28.4505489693,28.5677523116,28.3771699424,28.3773186129,28.3464645803,414.253524418,410.798334933,407.485714653,407.249335043,401.468438188,404.201648274,16520.7109375,863289.875,16520.7109375,747514.3125,16520.7109375,640663.5625,16520.7109375,557409.75,16520.7109375,487808.28125,50.2788243669,50.2967181884,50.314619179,50.3325269909,35.3408493709,34.9213268343,34.5177429882,34.1293682455,34.2778005099,35.1323874416,ADM1,5,SEN,SEN-ADM1-17790640B2641847,SN-KD,Kolda,ADM1
6,1087535.53516,31153.949707,1058537.42969,31153.949707,1025448.66406,31153.949707,999585.8125,31153.949707,969284.898438,31153.949707,942514.304688,31153.949707,886547.320312,31153.949707,916310.335938,31153.949707,865618.394531,31153.949707,836376.34375,31153.949707,809675.425781,31153.949707,124546.620117,124438.386719,124546.620117,124438.386719,124546.620117,124438.386719,124546.620117,124438.386719,124546.620117,124438.386719,124546.620117,124438.386719,124546.620117,124438.386719,124546.620117,124438.386719,124546.620117,124438.386719,0.0219347980946,0.0186927903197,0.0171742953974,0.0171623506237,0.0102519931702,0.00909088452463,0.0101131822776,0.00942926324508,0.00890463499137,35.7904155145,38.9871436008,38.3446280267,30.3689331342,37.1924320059,37.7476534243,51.9331051853,58.3370838268,28.5994491542,28.5362518704,28.3277338012,28.3468069648,28.4966175822,27.9454585325,27.9716298578,28.6284422881,412.792118652,409.431928352,407.106085812,405.035951735,399.75361627,402.47705931,31163.2583008,1189891.63281,31163.2583008,1029437.23438,31163.2583008,881615.570312,31163.2583008,766773.242188,31163.2583008,670940.957031,43.1091992671,43.121884706,43.1345744521,43.1472689063,52.1318957035,50.0659862409,48.1324401064,46.321404989,47.5969321911,48.1894756551,ADM1,6,SEN,SEN-ADM1-17790640B23540639,SN-LG,Louga,ADM1
7,699452.34375,35009.3481445,681176.109375,35009.3481445,660881.6875,35009.3481445,643298.921875,35009.3481445,625637.84375,35009.3481445,607259.875,35009.3481445,572061.65625,35009.3481445,591288.734375,35009.3481445,556167.875,35009.3481445,542627.445312,35009.3481445,528115.46875,35009.3481445,139906.9021,139774.453003,139906.9021,139774.453003,139906.9021,139774.453003,139906.9021,139774.453003,139906.9021,139774.453003,139906.9021,139774.453003,139906.9021,139774.453003,139906.9021,139774.453003,139906.9021,139774.453003,0.00757326246146,0.00537241973823,0.00505701550528,0.00492651623862,0.00254736653014,0.00207392379613,0.00228698170147,0.00205663431185,0.00181248382493,51.7706181538,51.0740162787,46.1105260752,40.1319123855,49.3672894795,39.3886216789,58.8327753294,66.356470676,30.2395278645,30.2986387618,29.9167890681,29.9305265736,29.9513164896,29.7605328259,29.499017099,30.2571305896,411.725970303,409.893649272,407.528011909,406.573461298,400.270238857,403.76622124,35009.9597168,759174.828125,35009.9597168,657074.46875,35009.9597168,562896.96875,35009.9597168,489578.515625,35009.9597168,428250.847656,44.4713182998,44.4800431797,44.4887702107,44.4974993552,51.3351687512,47.701897534,44.3935887867,41.3779801257,42.6731083037,42.0359841992,ADM1,7,SEN,SEN-ADM1-17790640B50368831,SN-MT,Matam,ADM1
8,1072634.75,23027.6015625,1041836.625,23027.6015625,1015518.9375,23027.6015625,985825.625,23027.6015625,956595.5,23027.6015625,930343.375,23027.6015625,879357.0625,23027.6015625,904566.9375,23027.6015625,854528.375,23027.6015625,827646.125,23027.6015625,802595.0625,23027.6015625,92489.4511719,92351.5200577,92489.4511719,92351.5200577,92489.4511719,92351.5200577,92489.4511719,92351.5200577,92489.4511719,92351.5200577,92489.4511719,92351.5200577,92489.4511719,92351.5200577,92489.4511719,92351.5200577,92489.4511719,92351.5200577,0.0381945394872,0.0305647777096,0.0300814972036,0.0285748372086,0.0175554685823,0.0167021439051,0.0167581195858,0.0170961460813,0.0149032839781,28.3500889587,25.2300475014,25.0052117352,18.426867651,26.5090440629,24.4772761422,34.9046957041,45.4975914685,29.1135757487,29.1013174495,28.8236979443,28.8450242445,29.0593157433,28.6661370215,28.423556904,29.3353769055,412.815087206,410.513815002,407.627200289,406.47903216,399.0346184,403.682419388,23157.2109375,1106634.75,23157.2109375,957690.0625,23157.2109375,820428.3125,23157.2109375,713751.0,23157.2109375,624666.625,43.0264982953,43.0432793165,43.0600676291,43.0768632986,57.5822230071,55.5967905684,53.7391621218,51.9998572875,52.5115975825,54.9954000284,ADM1,8,SEN,SEN-ADM1-17790640B55949380,SN-SL,Saint Louis,ADM1
9,554860.625,8650.66015625,539301.0,8650.66015625,523986.625,8650.66015625,509085.75,8650.66015625,494894.75,8650.66015625,480921.125,8650.66015625,454100.4375,8650.66015625,467592.3125,8650.66015625,441649.84375,8650.66015625,428830.4375,8650.66015625,416547.34375,8650.66015625,35298.4012756,35246.5962219,35298.4012756,35246.5962219,35298.4012756,35246.5962219,35298.4012756,35246.5962219,35298.4012756,35246.5962219,35298.4012756,35246.5962219,35298.4012756,35246.5962219,35298.4012756,35246.5962219,35298.4012756,35246.5962219,0.00980462037097,0.00708950082623,0.00488888571596,0.00392462988643,0.00166950661289,0.0020414852658,0.00196344198069,0.00234421730414,0.00203776903209,111.121318427,95.1013807402,100.447874735,101.543804911,85.3218750517,88.9793324485,105.014809621,116.855416443,27.8542639391,27.773926371,27.5840381732,27.7856877948,27.713414789,27.4270150619,27.6088293197,27.9719529058,415.527812598,411.147298989,408.547799743,406.660714464,400.233035116,404.363506798,8837.44921875,588985.3125,8837.44921875,509956.59375,8837.44921875,437075.6875,8837.44921875,380382.6875,8837.44921875,333025.34375,48.5315905894,48.5455006881,48.5594153408,48.5733345016,31.6882299949,31.3008929548,30.9242536476,30.5579164626,31.0323906735,32.6420316321,ADM1,9,SEN,SEN-ADM1-17790640B66448795,SN-SE,Sedhiou,ADM1
10,845104.290527,51426.8796387,821003.018555,51426.8796387,798064.694336,51426.8796387,775495.151367,51426.8796387,753128.605469,51426.8796387,731985.340332,51426.8796387,691119.131836,51426.8796387,711142.314453,51426.8796387,671324.102051,51426.8796387,652344.50293,51426.8796387,633476.572266,51426.8796387,205512.263611,205316.099548,205512.263611,205316.099548,205512.263611,205316.099548,205512.263611,205316.099548,205512.263611,205316.099548,205512.263611,205316.099548,205512.263611,205316.099548,205512.263611,205316.099548,205512.263611,205316.099548,0.00365454851584,0.00359535899279,0.0027936700345,0.00292628960382,0.00254559891804,0.00217387742934,0.00236677079082,0.00179084345433,0.001544793356,76.5587180437,67.3851576313,69.6053715558,60.1010053389,77.6968232159,62.273709089,76.4845000451,90.4664160446,29.8537748715,30.0002031108,29.7209804306,29.6734715847,29.7521988351,29.7039797469,29.4045744537,29.7880817788,413.149452897,411.494502523,409.092369363,406.527234165,401.295073788,404.133589192,51427.3896484,890371.066406,51427.3896484,770374.099609,51427.3896484,659785.259766,51427.3896484,573747.74707,51427.3896484,501920.142578,46.8106205275,46.8200649041,46.8295118591,46.8389613914,38.4025127665,37.3024628893,36.2561487068,35.2603039932,34.4647848924,35.1622693584,ADM1,10,SEN,SEN-ADM1-17790640B684150,SN-TC,Tambacounda,ADM1
11,2143541.5,8000.5,2083974.25,8000.5,2031912.375,8000.5,1969895.5,8000.5,1913949.0,8000.5,1860258.375,8000.5,1758073.75,8000.5,1805698.0,8000.5,1704402.75,8000.5,1657952.5,8000.5,1617309.125,8000.5,31942.222168,31870.5822144,31942.222168,31870.5822144,31942.222168,31870.5822144,31942.222168,31870.5822144,31942.222168,31870.5822144,31942.222168,31870.5822144,31942.222168,31870.5822144,31942.222168,31870.5822144,31942.222168,31870.5822144,0.464809499048,0.459807538873,0.410073526277,0.340860159244,0.261631960648,0.224335469883,0.243251382323,0.187045217648,0.163715444313,45.6956919631,47.042849387,55.5647812368,36.8547630654,50.4759435014,41.3062909903,66.3090000893,59.5550336133,26.8468784167,26.6809214956,26.575610435,26.5967965057,26.633775973,26.3951555958,26.4243330506,27.1172436958,412.69887423,409.589248521,407.250326608,407.054060908,400.297745205,402.26285203,8001.77978516,2288947.25,8001.77978516,1980287.375,8001.77978516,1695928.5,8001.77978516,1475011.0,8001.77978516,1290662.25,43.2979026049,43.3080943434,43.318288974,43.328486216,42.1791042827,41.5861451114,41.0179398353,40.4733371041,42.0187852914,42.5184942744,ADM1,11,SEN,SEN-ADM1-17790640B47994662,SN-TH,Thies,ADM1
12,668094.4375,8553.96972656,649478.0,8553.96972656,631087.0,8553.96972656,612920.25,8553.96972656,595864.3125,8553.96972656,578831.9375,8553.96972656,547420.0625,8553.96972656,562576.75,8553.96972656,531665.375,8553.96972656,516610.9375,8553.96972656,502225.875,8553.96972656,35323.1210938,35269.1289062,35323.1210938,35269.1289062,35323.1210938,35269.1289062,35323.1210938,35269.1289062,35323.1210938,35269.1289062,35323.1210938,35269.1289062,35323.1210938,35269.1289062,35323.1210938,35269.1289062,35323.1210938,35269.1289062,0.0282387986893,0.0221330551277,0.018210859464,0.0203084485455,0.0139010853685,0.0178308277935,0.0150379448369,0.0132633219296,0.0112833951356,106.722611147,102.01776288,120.810175114,112.93354149,112.627556456,102.119901494,114.848078779,124.897105068,26.757565583,26.5954023766,26.3784286506,26.6099179482,26.5751894307,26.3430049848,26.502206008,27.0591222778,413.88948334,409.362019446,404.665069264,405.64255799,400.106087173,402.145949997,8724.79003906,708078.375,8724.79003906,612274.0,8724.79003906,524058.46875,8724.79003906,455415.0,8724.79003906,398140.40625,48.0702130477,48.0815387775,48.092867078,48.1041981625,32.4336469118,31.9897707959,31.5650968273,31.158709025,31.7516263748,33.7245882964,ADM1,12,SEN,SEN-ADM1-17790640B98041234,SN-ZG,Ziguinchor,ADM1
13,187212.546875,20196.859375,181398.703125,20196.859375,176737.46875,20196.859375,171400.125,20196.859375,166534.40625,20196.859375,162157.5625,20196.859375,153002.65625,20196.859375,157098.875,20196.859375,148706.9375,20196.859375,144765.625,20196.859375,140270.328125,20196.859375,80671.4182129,80554.9490967,80671.4182129,80554.9490967,80671.4182129,80554.9490967,80671.4182129,80554.9490967,80671.4182129,80554.9490967,80671.4182129,80554.9490967,80671.4182129,80554.9490967,80671.4182129,80554.9490967,80671.4182129,80554.9490967,0.0148314952527,0.0146493873176,0.0139464796108,0.0110317103191,0.00822263077575,0.00706476066564,0.00809496276666,0.00677657270768,0.00543105738945,97.3401531436,99.1403001972,115.017743143,93.9242155107,101.576480318,105.853628384,105.640229251,116.455703752,29.6976713926,29.5976262949,29.2649482773,29.110907997,29.2056733505,29.1217493826,29.0488358784,29.1541635259,414.223266699,412.607047896,409.26368826,407.339163161,400.556320507,405.138943156,20197.2382812,198089.984375,20197.2382812,171375.65625,20197.2382812,146773.59375,20197.2382812,127588.3125,20197.2382812,111590.328125,52.2882286844,52.3038819995,52.3195404699,52.3352044114,35.4457698537,34.6223694897,33.8352591376,33.0824171762,32.8400857799,32.6469686094,ADM1,13,SEN,SEN-ADM1-17790640B75814185,SN-KE,Kedougou,ADM1
